"task","subj","rand_intercept","rand_cue","rand_ses","rand_int_cue_ses","fix_intercept","fix_cue","fix_stimulus_linear","fix_ses","fix_stimulus_quad","fix_int_cue_stimlin","fix_int_cue_ses","fix_int_ses_stimlin","fix_int_cue_stimquad","fix_int_ses_stimquad","fix_int_ses_cue_stimlin","fix_int_ses_cue_stimquad"
"pain",5,-77.750938617799,2.41269159456735,12.4190224093804,0.730784101822027,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain",29,-52.4728816637818,9.87440033788992,3.067682353312,-2.38130921144675,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain",19,-49.9915739943909,3.68914263248883,2.60318448413982,-1.18525376841738,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain",25,-42.3265339223541,-3.87348491769488,7.84828850102321,1.69355779490958,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain",3,-30.5538327778648,25.6796351733908,-2.36108984201236,-6.35810028400574,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain",8,-24.4384207209685,7.96556797833124,0.280791022117158,-2.05053111672415,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain",10,-22.1431334618474,-0.889904300910287,0.320301082611626,-0.203966258583626,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain",18,-17.3675034294578,11.2699101254424,0.281929777730755,-2.57246659501956,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain",31,-17.0849908456755,3.53206454248295,7.89833058431384,0.728351211716457,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain",98,-14.2200539803185,8.73932830723215,-0.168052833274021,-2.09821645509988,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
