src_subject_id,session_id,param_task_name,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_stimulus_type,param_cond_type,param_trigger_onset,param_start_biopac,ITI_onset,ITI_biopac,ITI_duration,event01_cue_onset,event01_cue_biopac,event01_cue_type,event01_cue_filename,ISI01_onset,ISI01_biopac,ISI01_duration,event02_expect_displayonset,event02_expect_biopac,event02_expect_responseonset,event02_expect_RT,event02_expect_angle,event02_expect_angle_label,ISI02_onset,ISI02_biopac,ISI02_duration,event03_stimulus_type,event03_stimulus_displayonset,event03_stimulus_biopac,event03_stimulus_C_stim_match,event03_stimulusC_response,event03_stimulusC_responsekeyname,event03_stimulusC_reseponseonset,event03_stimulusC_RT,ISI03_onset,ISI03_biopac,ISI03_duration,event04_actual_displayonset,event04_actual_biopac,event04_actual_responseonset,event04_actual_RT,event04_actual_angle,event04_actual_angle_label,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event03_stimulus_P_trigger,event03_stimulus_P_delay_between_medoc,event03_stimulus_V_patientid,event03_stimulus_V_filename,event03_stimulus_C_stim_num,event03_stimulus_C_stim_filename
8,1,,6,2,2,low_cue,med_stim,2,1614880134.23289,1614880134.23374,1614880137.03546,1614880137.03671,2.88126349449158,1614880139.93656,1614880139.93781,low_cue,l015.png,1614880140.9175,1614880140.91846,2.29923105239868,1614880143.23781,1614880143.24757,1614880146.79765,3.55984139442444,24.9196643698324,FIX,1614880147.33936,1614880147.3489,4.27736806869507,med_stim,1614880153.62092,1614880153.61781,,0,,0,0,1614880160.62772,1614880160.63244,1.68900895118713,1614880162.34503,1614880162.34777,1614880165.7477,3.40266609191895,4.85961443097241,FIX,1614880533.36847,1614880533.36966,399.135578155518,,0,048-aa048,aa048t2afunaff_M.mp4,0,
8,1,,6,2,2,high_cue,low_stim,4,1614880134.23289,1614880134.23374,1614880166.37989,1614880166.38258,2.83683633804321,1614880169.23097,1614880169.23238,high_cue,h026.png,1614880170.21725,1614880170.21827,1.69948101043701,1614880171.93199,1614880171.93221,NaN,NaN,NaN,FIX,1614880175.95017,1614880175.95142,0.966551303863525,low_stim,1614880178.91925,1614880178.91747,,0,,0,0,1614880185.92061,1614880185.93222,6.49611520767212,1614880192.43974,1614880192.44816,1614880195.89791,3.45816493034363,21.4171663529417,FIX,1614880533.36847,1614880533.36966,399.135578155518,,0,066-mg066,mg066t2aeunaff_L.mp4,0,
8,1,,6,2,2,low_cue,high_stim,3,1614880134.23289,1614880134.23374,1614880196.45793,1614880196.46546,0.458799362182617,1614880196.92477,1614880196.93237,low_cue,l026.png,1614880197.91684,1614880197.91768,2.19988393783569,1614880200.12598,1614880200.1315,NaN,NaN,NaN,FIX,1614880204.14417,1614880204.14872,6.47255921363831,high_stim,1614880212.61939,1614880212.61745,,0,,0,0,1614880219.63336,1614880219.63442,6.1833701133728,1614880225.8357,1614880225.83591,1614880229.42055,3.58485269546509,26.3600582073531,FIX,1614880533.36847,1614880533.36966,399.135578155518,,0,109-ib109,ib109t1aiaff_H.mp4,0,
8,1,,6,2,2,high_cue,med_stim,5,1614880134.23289,1614880134.23374,1614880229.98727,1614880229.98831,0.32945728302002,1614880230.32073,1614880230.33245,high_cue,h025.png,1614880231.31684,1614880231.31772,1.29988098144531,1614880232.63827,1614880232.63869,NaN,NaN,NaN,FIX,1614880236.65646,1614880236.65712,2.16026830673218,med_stim,1614880240.81936,1614880240.81755,,0,,0,0,1614880247.82735,1614880247.83227,1.189377784729,1614880249.04447,1614880249.04472,NaN,NaN,NaN,FIX,1614880533.36847,1614880533.36966,399.135578155518,,0,103-jk103,jk103t2aaunaff_M.mp4,0,
8,1,,6,2,2,low_cue,med_stim,2,1614880134.23289,1614880134.23374,1614880253.07933,1614880253.08191,12.7373929023743,1614880265.83415,1614880265.83514,low_cue,l043.png,1614880266.81684,1614880266.81764,1.69988107681274,1614880268.53518,1614880268.53555,1614880271.8699,3.33472180366516,31.3969122485905,FIX,1614880272.55336,1614880272.55428,2.6633665561676,med_stim,1614880277.21957,1614880277.21746,,0,,0,0,1614880284.22444,1614880284.23234,6.19228672981262,1614880290.44346,1614880290.44364,NaN,NaN,NaN,FIX,1614880533.36847,1614880533.36966,399.135578155518,,0,066-mg066,mg066t2aaunaff_M.mp4,0,
8,1,,6,2,2,low_cue,high_stim,3,1614880134.23289,1614880134.23374,1614880294.47832,1614880294.48254,3.13841009140015,1614880297.62951,1614880297.63273,low_cue,l017.png,1614880298.61684,1614880298.61764,1.29988217353821,1614880299.93038,1614880299.93193,NaN,NaN,NaN,FIX,1614880303.94856,1614880303.94924,9.06816387176514,high_stim,1614880315.01913,1614880315.01739,,0,,0,0,1614880322.02206,1614880322.03261,0.79466438293457,1614880322.83904,1614880322.83927,NaN,NaN,NaN,FIX,1614880533.36847,1614880533.36966,399.135578155518,,0,048-aa048,aa048t2aeaff_H.mp4,0,
8,1,,6,2,2,high_cue,high_stim,6,1614880134.23289,1614880134.23374,1614880326.8739,1614880326.87478,0.742831468582153,1614880327.62418,1614880327.63272,high_cue,h003.png,1614880328.61684,1614880328.61764,0.599882125854492,1614880329.22478,1614880329.23228,NaN,NaN,NaN,FIX,1614880333.24297,1614880333.24939,2.17375802993774,high_stim,1614880337.41929,1614880337.41747,,0,,0,0,1614880344.43053,1614880344.43278,17.6861934661865,1614880362.13723,1614880362.13742,NaN,NaN,NaN,FIX,1614880533.36847,1614880533.36966,399.135578155518,,0,047-jl047,jl047t1aiaff_H.mp4,0,
8,1,,6,2,2,low_cue,low_stim,1,1614880134.23289,1614880134.23374,1614880366.17209,1614880366.17309,2.44464039802551,1614880368.62301,1614880368.63302,low_cue,l002.png,1614880369.61684,1614880369.61764,0.599885940551758,1614880370.24029,1614880370.24046,NaN,NaN,NaN,FIX,1614880374.25847,1614880374.25932,1.85825061798096,low_stim,1614880378.11976,1614880378.11747,,0,,0,0,1614880385.12924,1614880385.13341,1.98748683929443,1614880387.14667,1614880387.14687,NaN,NaN,NaN,FIX,1614880533.36847,1614880533.36966,399.135578155518,,0,103-jk103,jk103t1aaunaff_L.mp4,0,
8,1,,6,2,2,low_cue,low_stim,1,1614880134.23289,1614880134.23374,1614880391.18152,1614880391.18297,2.13520574569702,1614880393.33233,1614880393.3333,low_cue,l053.png,1614880394.31687,1614880394.31775,0.899857997894287,1614880395.23305,1614880395.23334,NaN,NaN,NaN,FIX,1614880399.25123,1614880399.25211,9.06549453735352,low_stim,1614880410.31948,1614880410.31746,,0,,0,0,1614880417.32471,1614880417.33306,7.89201545715332,1614880425.24436,1614880425.24461,NaN,NaN,NaN,FIX,1614880533.36847,1614880533.36966,399.135578155518,,0,109-ib109,ib109t1aiunaff_L.mp4,0,
8,1,,6,2,2,high_cue,low_stim,4,1614880134.23289,1614880134.23374,1614880429.27922,1614880429.28329,12.7375104427338,1614880442.03403,1614880442.03526,high_cue,h014.png,1614880443.01685,1614880443.01764,2.19988203048706,1614880445.23523,1614880445.2357,NaN,NaN,NaN,FIX,1614880449.25342,1614880449.25429,1.86330962181091,low_stim,1614880453.11946,1614880453.11752,,0,,0,0,1614880460.12418,1614880460.13368,1.69254350662231,1614880461.8415,1614880461.84203,NaN,NaN,NaN,FIX,1614880533.36847,1614880533.36966,399.135578155518,,0,047-jl047,jl047t1aaunaff_L.mp4,0,
