,src_subject_id,session_id,param_task_name,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_stimulus_type,param_cond_type,param_trigger_onset,param_start_biopac,ITI_onset,ITI_biopac,ITI_duration,event01_cue_onset,event01_cue_biopac,event01_cue_type,event01_cue_filename,ISI01_onset,ISI01_biopac,ISI01_duration,event02_expect_displayonset,event02_expect_biopac,event02_expect_responseonset,event02_expect_RT,event02_expect_angle,event02_expect_angle_label,ISI02_onset,ISI02_biopac,ISI02_duration,event03_stimulus_type,event03_stimulus_displayonset,event03_stimulus_biopac,event03_stimulus_C_stim_match,event03_stimulusC_response,event03_stimulusC_responsekeyname,event03_stimulusC_reseponseonset,event03_stimulusC_RT,ISI03_onset,ISI03_biopac,ISI03_duration,event04_actual_displayonset,event04_actual_biopac,event04_actual_responseonset,event04_actual_RT,event04_actual_angle,event04_actual_angle_label,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event03_stimulus_P_trigger,event03_stimulus_P_delay_between_medoc,event03_stimulus_V_patientid,event03_stimulus_V_filename,event03_stimulus_C_stim_num,event03_stimulus_C_stim_filename,param_C_stim_num,event03_C_stim_match,event03_C_stim_filename
0,10,4,cognitive,1,3,1,low_cue,low_stim,1,1616613757.14515,1616613757.14985,1616613759.95131,1616613759.95611,7.77971458435059,1616613767.73754,1616613767.75307,low_cue,l017.png,1616613768.73214,1616613768.73343,0.699207067489624,1616613769.50487,1616613769.50637,1616613771.68939,2.18452477455139,23.4143347638103,FIX,1616613773.52304,1616613773.53379,4.70834374427795,low_stim,1616613780.25888,1616613780.26019,,1,left,1616613785.25797,4.99909257888794,1616613787.24482,1616613787.25015,0.986202478408813,1616613788.24519,1616613788.24948,1616613791.66585,3.42066097259521,7.64040676102675,FIX,1616614155.98233,1616614155.98369,398.837180376053,,0,,,0,,24,diff,24_50_R.jpg
1,10,4,cognitive,1,3,1,low_cue,med_stim,2,1616613757.14515,1616613757.14985,1616613792.41341,1616613792.41729,0.417608737945557,1616613792.84691,1616613792.85044,low_cue,l002.png,1616613793.83221,1616613793.83351,1.2989718914032,1616613795.14777,1616613795.14977,1616613797.71563,2.56786799430847,10.1813200065144,FIX,1616613799.16593,1616613799.16784,1.76509094238281,med_stim,1616613802.95068,1616613802.95184,,1,left,1616613807.9503,4.99962162971497,1616613809.95329,1616613809.95487,3.47773480415344,1616613813.45459,1616613813.45617,1616613816.50599,3.05139493942261,7.06672971640108,FIX,1616614155.98233,1616614155.98369,398.837180376053,,0,,,0,,45,diff,45_100_R.jpg
2,10,4,cognitive,1,3,1,low_cue,low_stim,1,1616613757.14515,1616613757.14985,1616613817.5061,1616613817.50819,0.924916982650757,1616613818.43979,1616613818.45093,low_cue,l006.png,1616613819.43233,1616613819.43384,1.89869689941406,1616613821.35754,1616613821.36667,1616613823.93225,2.57470893859863,11.1291892896112,FIX,1616613825.37571,1616613825.38383,3.95531702041626,low_stim,1616613831.3446,1616613831.35034,,2,right,1616613836.34458,4.99998760223389,1616613838.34721,1616613838.35077,5.08381271362305,1616613843.44911,1616613843.44986,1616613845.5339,2.08478355407715,6.89742755775175,FIX,1616614155.98233,1616614155.98369,398.837180376053,,0,,,0,,9,same,9_50.jpg
3,10,4,cognitive,1,3,1,low_cue,high_stim,3,1616613757.14515,1616613757.14985,1616613847.48395,1616613847.48583,0.947070837020874,1616613848.45098,1616613848.45318,low_cue,l016.png,1616613849.43223,1616613849.43375,1.39879393577576,1616613850.85187,1616613850.85294,1616613852.9696,2.11772584915161,5.98495231511541,FIX,1616613854.87004,1616613854.8723,2.06098222732544,high_stim,1616613858.95489,1616613858.95587,,2,right,1616613863.44811,4.4932165145874,1616613865.94083,1616613865.95087,3.49018812179565,1616613869.45881,1616613869.45977,1616613871.68227,2.22345685958862,5.29856506989994,FIX,1616614155.98233,1616614155.98369,398.837180376053,,0,,,0,,9,same,9_150.jpg
4,10,4,cognitive,1,3,1,high_cue,med_stim,5,1616613757.14515,1616613757.14985,1616613873.49365,1616613873.50195,3.637371301651,1616613877.14501,1616613877.15071,high_cue,h024.png,1616613878.13305,1616613878.13575,1.89797496795654,1616613880.04609,1616613880.04919,,,,FIX,1616613884.06426,1616613884.06811,4.86676287651062,med_stim,1616613890.95016,1616613890.95168,,2,right,1616613895.95027,5.0001118183136,1616613897.95277,1616613897.95568,1.97824954986572,1616613899.95352,1616613899.95429,1616613903.47173,3.51821041107178,6.69637761619969,FIX,1616614155.98233,1616614155.98369,398.837180376053,,0,,,0,,45,same,45_100.jpg
5,10,4,cognitive,1,3,1,high_cue,high_stim,6,1616613757.14515,1616613757.14985,1616613904.05505,1616613904.0672,6.97597575187683,1616613911.04099,1616613911.05038,high_cue,h052.png,1616613912.03206,1616613912.03362,0.899038076400757,1616613912.94169,1616613912.94979,1616613915.76541,2.82371401786804,37.3395246655337,FIX,1616613916.95986,1616613916.96186,7.97116136550903,high_stim,1616613926.94692,1616613926.94936,,2,right,1616613931.94557,4.99865365028381,1616613933.94953,1616613933.95147,7.38149642944336,1616613941.35229,1616613941.35343,1616613944.42026,3.0679669380188,20.0423167448936,FIX,1616614155.98233,1616614155.98369,398.837180376053,,0,,,0,,24,same,24_150.jpg
6,10,4,cognitive,1,3,1,high_cue,med_stim,5,1616613757.14515,1616613757.14985,1616613945.38713,1616613945.38871,5.9438943862915,1616613951.33935,1616613951.35057,high_cue,h027.png,1616613952.33192,1616613952.33322,1.79909515380859,1616613954.15706,1616613954.15796,1616613956.94873,2.79166913032532,42.5667989452628,FIX,1616613958.17523,1616613958.17684,3.1557936668396,med_stim,1616613963.34382,1616613963.34963,,1,left,1616613968.33733,4.99351072311401,1616613970.34644,1616613970.35042,0.984587669372559,1616613971.34681,1616613971.34935,,,,FIX,1616614155.98233,1616614155.98369,398.837180376053,,0,,,0,,34,diff,34_100_R.jpg
7,10,4,cognitive,1,3,1,high_cue,low_stim,4,1616613757.14515,1616613757.14985,1616613975.38165,1616613975.38344,0.949376821517944,1616613976.34867,1616613976.35008,high_cue,h037.png,1616613977.33187,1616613977.33315,1.89915585517883,1616613979.24976,1616613979.25069,1616613981.53412,2.28436470031738,50.5484662937181,FIX,1616613983.26792,1616613983.26932,6.36310076713562,low_stim,1616613991.65438,1616613991.65558,,2,right,1616613996.65333,4.99895071983337,1616613998.64032,1616613998.65067,1.19070196151733,1616613999.84077,1616613999.84985,1616614001.7487,1.90793347358704,11.0353541630349,FIX,1616614155.98233,1616614155.98369,398.837180376053,,0,,,0,,48,same,48_50.jpg
8,10,4,cognitive,1,3,1,high_cue,low_stim,4,1616613757.14515,1616613757.14985,1616614003.85893,1616614003.8666,4.67208886146545,1616614008.54401,1616614008.54995,high_cue,h002.png,1616614009.53188,1616614009.5332,1.39914202690125,1616614010.94491,1616614010.9496,1616614012.79873,1.85381937026978,46.7950067373364,FIX,1616614014.96307,1616614014.96725,6.86794900894165,low_stim,1616614023.84972,1616614023.85073,,2,right,1616614028.84956,4.99983787536621,1616614030.85233,1616614030.85834,7.07868981361389,1616614037.95498,1616614037.95671,1616614040.28933,2.33434867858887,17.7713208229088,FIX,1616614155.98233,1616614155.98369,398.837180376053,,0,,,0,,43,same,43_50.jpg
9,10,4,cognitive,1,3,1,high_cue,high_stim,6,1616613757.14515,1616613757.14985,1616614041.98982,1616614041.99129,0.941200733184814,1616614042.94017,1616614042.95065,high_cue,h044.png,1616614043.93196,1616614043.93324,2.19906497001648,1616614046.14137,1616614046.14954,1616614049.23208,3.0907084941864,38.4430535018366,FIX,1616614050.15953,1616614050.16137,2.97148895263672,high_stim,1616614055.14473,1616614055.15017,,2,right,1616614060.14251,4.99778866767883,1616614062.14734,1616614062.14994,6.28368592262268,1616614068.44968,1616614068.4507,1616614071.61774,3.16805720329285,18.7998851586527,FIX,1616614155.98233,1616614155.98369,398.837180376053,,0,,,0,,23,same,23_150.jpg
10,10,4,cognitive,1,3,1,low_cue,med_stim,2,1616613757.14515,1616613757.14985,1616614072.48452,1616614072.48654,10.8464984893799,1616614083.33857,1616614083.35069,low_cue,l031.png,1616614084.33215,1616614084.33373,0.898865938186646,1616614085.23928,1616614085.24954,,,,FIX,1616614089.25745,1616614089.25923,8.27357459068298,med_stim,1616614099.54462,1616614099.54942,,2,right,1616614104.54306,4.99844598770142,1616614106.54723,1616614106.55026,3.883793592453,1616614110.44868,1616614110.44952,,,,FIX,1616614155.98233,1616614155.98369,398.837180376053,,0,,,0,,34,same,34_100.jpg
11,10,4,cognitive,1,3,1,low_cue,high_stim,3,1616613757.14515,1616613757.14985,1616614114.48352,1616614114.48513,9.0475001335144,1616614123.5369,1616614123.5509,low_cue,l042.png,1616614124.53209,1616614124.53337,1.7989330291748,1616614126.35461,1616614126.35583,1616614128.38891,2.03429460525513,6.95295746817392,FIX,1616614130.37278,1616614130.37512,0.558242797851562,high_stim,1616614132.9404,1616614132.94956,,2,right,1616614137.93813,4.997722864151,1616614139.94301,1616614139.95022,11.9880063533783,1616614151.94749,1616614151.94951,1616614154.63216,2.68466567993164,3.75172907052598,FIX,1616614155.98233,1616614155.98369,398.837180376053,,0,,,0,,22,same,22_150.jpg
